,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP,TEAM_AST_TOV,AST_TOV_OPP,TEAM_LAST_3,LAST_3_OPP,LAST_3_H2H,LAST_3_PACE_H2H,LAST_3_EFG_H2H,xFQTP,xFQTP_OPP
3688,22300584,1610612759,SAS,1610612766,CHA,2023-24,32,34,2024-01-19,66,26.0,19.0,25.3,18.5,23.2,23.2,103.0,96.4,28.6,19.5,29.2,21.5,0.4854,0.5095999999999999,0.4239,0.4928,0.3445999999999999,0.3287,0.8317,0.8170999999999999,4.8,5.2,3.6,1.6,2.0,3.0,10.0,11.1,100.87,131.77,2.075,4.508,21.33333333333333,31.33333333333333,58.0,101.33333333333331,0.54775,27.703228610974897,28.79782007259341
3689,22300586,1610612738,BOS,1610612743,DEN,2023-24,32,31,2024-01-19,63,30.1,26.0,30.5,24.5,23.1,23.8,101.8,97.6,26.7,16.0,27.4,18.5,0.5976,0.4998,0.4928,0.4239,0.4074,0.4038,0.7445,0.7217,4.2,4.1,2.8,3.4,1.4,2.6,11.1,10.0,118.36,104.0,3.175,4.075,31.33333333333333,21.33333333333333,61.5,102.06666666666666,0.5695666666666668,31.477708401910803,28.637955842734424
3690,22300587,1610612748,MIA,1610612737,ATL,2023-24,24,32,2024-01-19,56,27.6,17.0,29.9,21.5,22.8,21.5,97.8,95.4,25.8,17.0,28.6,22.0,0.5237999999999999,0.5987,0.4570999999999999,0.5387000000000001,0.3360999999999999,0.3237,0.8663000000000001,0.6239999999999999,5.1,4.3,3.1,2.3,2.3,2.4,8.5,8.3,111.87,101.74,2.817,3.683,20.0,29.33333333333333,65.66666666666667,99.4,0.5728333333333333,30.22295778271229,28.587485651392427
3691,22300591,1610612751,BKN,1610612747,LAL,2023-24,28,37,2024-01-19,65,26.2,17.0,31.3,24.0,21.5,22.8,95.4,97.8,26.1,18.5,31.6,21.5,0.5095999999999999,0.4854,0.4489000000000001,0.5401999999999999,0.2718,0.4378999999999999,0.6501,0.575,5.2,4.8,1.6,3.6,2.2,2.3,8.1,7.9,108.16,129.99,5.317,2.604,20.33333333333333,23.666666666666668,46.5,101.83333333333331,0.555,28.5790687518306,29.25386054757348
3692,22300587,1610612737,ATL,1610612748,MIA,2023-24,32,24,2024-01-19,56,30.5,24.5,30.1,26.0,24.4,22.3,105.0,99.4,28.5,19.5,29.3,22.5,0.5099,0.5971,0.4498999999999999,0.5057,0.3237,0.3360999999999999,0.7938000000000001,0.7750999999999999,6.9,4.3,2.4,3.6,3.9,3.3,9.4,8.3,115.65,112.43,3.683,2.817,28.666666666666668,24.0,65.66666666666667,99.4,0.5728333333333333,31.83456152012629,28.43325705252515
3693,22300590,1610612757,POR,1610612754,IND,2023-24,34,31,2024-01-19,65,25.3,18.5,26.0,19.0,22.1,22.8,101.6,100.2,31.6,21.5,26.1,18.5,0.4764,0.6407,0.4119,0.5385000000000001,0.3691,0.4178,0.8170999999999999,0.8317,4.3,6.9,3.4,2.8,2.0,2.3,8.0,9.3,101.33,121.32,2.604,5.317,24.0,28.666666666666668,57.0,101.16666666666669,0.55165,26.8702609739294,28.76494861412094
3694,22300588,1610612756,PHX,1610612740,NOP,2023-24,41,28,2024-01-19,69,30.3,20.0,29.0,18.5,23.5,23.0,100.2,101.6,30.4,24.5,27.5,19.0,0.5987,0.5237999999999999,0.5134000000000001,0.4147999999999999,0.4378999999999999,0.2718,0.6239999999999999,0.8663000000000001,3.4,2.5,2.6,3.6,2.3,1.7,8.3,9.4,121.32,101.33,2.6020000000000003,3.138,31.33333333333333,24.666666666666668,59.66666666666666,102.36666666666667,0.55635,29.870610930969303,28.508006060065703
3695,22300584,1610612766,CHA,1610612759,SAS,2023-24,34,32,2024-01-19,66,25.3,17.0,32.0,21.0,23.2,23.2,99.4,105.0,28.6,22.0,25.8,17.0,0.492,0.5601,0.4147999999999999,0.5134000000000001,0.4038,0.4074,0.4925,0.5989,4.1,4.2,3.1,2.2,3.0,2.0,8.5,8.8,101.74,111.87,2.6100000000000003,4.247,24.666666666666668,31.33333333333333,58.0,101.33333333333331,0.54775,25.047694924771022,28.63450228517889
3696,22300585,1610612753,ORL,1610612755,PHI,2023-24,34,32,2024-01-19,66,25.1,18.5,29.1,20.0,22.3,24.4,96.4,103.0,29.5,23.5,29.2,24.0,0.4998,0.5976,0.4254,0.4591,0.3543,0.4695,0.5989,0.4925,4.0,4.1,3.2,2.8,3.3,3.9,7.9,8.1,104.0,118.36,1.943,2.903,23.666666666666668,20.33333333333333,52.66666666666666,103.06666666666666,0.5629833333333334,27.874793133610943,28.63237783136616
3697,22300590,1610612754,IND,1610612757,POR,2023-24,31,34,2024-01-19,65,29.1,20.0,25.1,18.5,22.8,22.1,101.4,103.8,29.3,22.5,28.5,19.5,0.5971,0.5099,0.5387000000000001,0.4570999999999999,0.4178,0.3691,0.575,0.6501,2.5,3.4,3.6,2.4,2.3,2.2,8.4,9.5,115.35,118.94,2.903,1.943,29.33333333333333,20.0,57.0,101.16666666666669,0.55165,31.82608456833842,29.378566734015973
