index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST
1742,22200359,1610612754,IND,1610612744,GSW,2022-23,34,21,2022-12-05,55,22.9,15.0,28.0,23.0,21.3,24.2,105.6,99.4,30.8,26.5,29.4,22.5
1756,22200356,1610612755,PHI,1610612745,HOU,2022-23,30,27,2022-12-05,57,27.3,22.0,34.3,25.0,21.3,21.5,100.8,103.2,29.3,23.0,32.0,25.0
1750,22200352,1610612766,CHA,1610612746,LAC,2022-23,26,28,2022-12-05,54,26.1,16.5,31.1,22.0,24.2,21.3,102.2,106.6,32.0,25.0,29.3,23.0
1755,22200358,1610612756,PHX,1610612742,DAL,2022-23,15,33,2022-12-05,48,30.4,22.5,29.8,25.0,24.2,21.9,101.6,98.0,28.1,22.0,32.9,26.0
1753,22200354,1610612760,OKC,1610612737,ATL,2022-23,27,29,2022-12-05,56,29.1,21.5,30.4,23.0,24.2,21.7,103.2,104.0,32.9,26.0,28.1,22.0
1747,22200355,1610612738,BOS,1610612761,TOR,2022-23,27,25,2022-12-05,52,34.3,25.0,27.3,22.0,23.5,23.5,105.2,101.0,25.0,18.5,28.9,19.5
1754,22200358,1610612742,DAL,1610612756,PHX,2022-23,33,15,2022-12-05,48,28.9,21.5,28.1,23.0,21.7,24.2,99.4,105.6,28.9,19.5,25.0,18.5
1739,22200360,1610612747,LAL,1610612739,CLE,2022-23,26,27,2022-12-06,53,30.0,23.0,29.5,25.0,23.5,22.2,105.4,100.4,26.9,20.5,30.5,26.5
1737,22200361,1610612748,MIA,1610612765,DET,2022-23,25,20,2022-12-06,45,29.5,25.0,30.0,23.0,23.4,21.7,103.4,98.4,30.5,26.5,26.9,20.5
1738,22200360,1610612739,CLE,1610612747,LAL,2022-23,27,26,2022-12-06,53,26.4,18.0,29.3,22.5,22.2,23.5,92.4,99.4,23.4,17.5,29.6,17.5
1736,22200361,1610612765,DET,1610612748,MIA,2022-23,20,25,2022-12-06,45,29.3,22.5,26.4,18.0,21.7,23.4,98.4,103.4,29.6,17.5,23.4,17.5
1740,22200362,1610612743,DEN,1610612742,DAL,2022-23,29,36,2022-12-06,65,31.9,25.0,29.2,21.5,22.4,21.7,100.4,105.4,27.7,22.5,28.9,19.5
1741,22200362,1610612742,DAL,1610612743,DEN,2022-23,36,29,2022-12-06,65,29.2,21.5,31.9,25.0,21.7,22.4,99.4,92.4,28.9,19.5,27.7,22.5
1731,22200364,1610612751,BKN,1610612766,CHA,2022-23,38,28,2022-12-07,66,30.6,24.5,32.4,27.0,22.1,22.0,101.8,104.4,27.1,20.0,29.3,20.5
1726,22200370,1610612750,MIN,1610612754,IND,2022-23,35,17,2022-12-07,52,32.4,27.0,30.6,24.5,23.4,21.8,106.8,104.4,29.3,20.5,27.1,20.0
1728,22200366,1610612761,TOR,1610612747,LAL,2022-23,39,31,2022-12-07,70,26.8,20.5,30.0,23.0,22.4,24.2,100.6,97.8,30.4,22.5,28.6,20.5
1735,22200369,1610612749,MIL,1610612758,SAC,2022-23,34,29,2022-12-07,63,31.0,23.5,28.1,19.5,23.2,23.0,102.0,99.2,28.6,20.5,30.4,22.5
1729,22200366,1610612747,LAL,1610612761,TOR,2022-23,31,39,2022-12-07,70,30.0,23.0,26.8,20.5,23.4,23.1,106.2,106.0,27.4,20.5,29.8,22.5
1721,22200372,1610612762,UTA,1610612744,GSW,2022-23,30,35,2022-12-07,65,29.4,21.5,32.6,18.5,22.2,23.7,102.0,102.0,29.8,22.5,27.4,20.5
1732,22200368,1610612763,MEM,1610612760,OKC,2022-23,27,25,2022-12-07,52,31.9,25.5,25.3,20.5,24.8,22.5,104.8,102.6,28.2,25.5,30.9,27.5
1716,22200367,1610612764,WAS,1610612741,CHI,2022-23,22,29,2022-12-07,51,31.9,26.0,27.7,21.5,21.9,23.8,104.2,105.0,30.9,27.5,28.2,25.5
1730,22200364,1610612766,CHA,1610612751,BKN,2022-23,28,38,2022-12-07,66,25.4,16.5,28.3,21.5,24.2,22.4,102.8,100.0,31.4,25.0,25.7,20.5
1714,22200373,1610612738,BOS,1610612756,PHX,2022-23,31,21,2022-12-07,52,34.0,25.0,28.2,19.5,23.1,23.3,105.0,104.2,25.7,20.5,31.4,25.0
1719,22200371,1610612765,DET,1610612740,NOP,2022-23,28,27,2022-12-07,55,29.0,21.0,30.1,22.0,21.9,21.3,97.8,100.6,30.6,21.5,28.7,21.0
1720,22200372,1610612744,GSW,1610612762,UTA,2022-23,35,30,2022-12-07,65,32.6,18.5,29.4,21.5,23.1,23.4,106.2,100.2,28.7,21.0,30.6,21.5
1715,22200373,1610612756,PHX,1610612738,BOS,2022-23,21,31,2022-12-07,52,28.3,18.5,27.4,22.0,23.8,21.9,100.0,102.8,28.1,22.0,29.0,22.5
1725,22200363,1610612746,LAC,1610612753,ORL,2022-23,32,14,2022-12-07,46,28.2,19.5,34.0,25.0,22.0,22.1,99.2,102.0,29.0,22.5,28.1,22.0
