index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
4866,0022300080,1610612748,1610612738,0.521,0.429,102.0,102.0,3.0,1.0,96.2,112.0,112.0,96.2
4867,0022300080,1610612738,1610612748,0.429,0.521,102.0,102.0,1.0,3.0,112.0,96.2,96.2,112.0
4880,0022300081,1610612760,1610612739,0.54,0.432,110.0,110.0,1.67,2.33,92.9,114.8,114.8,92.9
4881,0022300081,1610612739,1610612760,0.432,0.54,110.0,110.0,2.33,1.67,114.8,92.9,92.9,114.8
4873,0022300082,1610612741,1610612761,0.423,0.6,94.0,94.0,0.67,0.56,78.3,100.0,100.0,78.3
4872,0022300082,1610612761,1610612741,0.6,0.423,94.0,94.0,0.56,0.67,100.0,78.3,78.3,100.0
4878,0022300083,1610612759,1610612745,0.522,0.5,102.0,102.0,2.0,0.86,92.0,96.2,96.2,92.0
4879,0022300083,1610612745,1610612759,0.5,0.522,102.0,102.0,0.86,2.0,96.2,92.0,92.0,96.2
4869,0022300084,1610612751,1610612742,0.5,0.48,98.0,98.0,1.0,4.0,108.3,100.0,100.0,108.3
4868,0022300084,1610612742,1610612751,0.48,0.5,98.0,98.0,4.0,1.0,100.0,108.3,108.3,100.0
4877,0022300085,1610612746,1610612762,0.667,0.571,104.0,104.0,0.75,3.0,126.9,115.4,115.4,126.9
4876,0022300085,1610612762,1610612746,0.571,0.667,104.0,104.0,3.0,0.75,115.4,126.9,126.9,115.4
4884,0022300086,1610612757,1610612753,0.521,0.571,102.0,102.0,0.75,8.0,119.2,104.0,104.0,119.2
4885,0022300086,1610612753,1610612757,0.571,0.521,102.0,102.0,8.0,0.75,104.0,119.2,119.2,104.0
4886,0022300087,1610612758,1610612744,0.609,0.423,102.0,102.0,2.67,4.5,92.3,116.0,116.0,92.3
4887,0022300087,1610612744,1610612758,0.423,0.609,102.0,102.0,4.5,2.67,116.0,92.3,92.3,116.0
4858,0022300088,1610612765,1610612741,0.7,0.522,88.0,88.0,5.0,2.0,118.2,131.8,131.8,118.2
4859,0022300088,1610612741,1610612765,0.522,0.7,88.0,88.0,2.0,5.0,131.8,118.2,118.2,131.8
4862,0022300089,1610612764,1610612763,0.417,0.417,102.0,102.0,2.0,1.0,84.6,100.0,100.0,84.6
4863,0022300089,1610612763,1610612764,0.417,0.417,102.0,102.0,1.0,2.0,100.0,84.6,84.6,100.0
4865,0022300090,1610612740,1610612752,0.542,0.273,98.0,98.0,3.5,0.57,48.0,108.3,108.3,48.0
4864,0022300090,1610612752,1610612740,0.273,0.542,98.0,98.0,0.57,3.5,108.3,48.0,48.0,108.3
4861,0022300091,1610612739,1610612754,0.643,0.5,102.0,102.0,2.67,0.0,124.0,142.3,142.3,124.0
