index,GAME_ID,PTS_QTR1,OPP_PTS_QTR1
1519,0022200473,29,31
1518,0022200473,31,29
1523,0022200474,22,32
1522,0022200474,32,22
1516,0022200475,25,26
1517,0022200475,26,25
1526,0022200476,37,19
1527,0022200476,19,37
1507,0022200477,17,37
1506,0022200477,37,17
1505,0022200478,27,30
1504,0022200478,30,27
1498,0022200479,34,28
1499,0022200479,28,34
1503,0022200480,24,33
1502,0022200480,33,24
1488,0022200481,34,32
1489,0022200481,32,34
1485,0022200482,29,22
1484,0022200482,22,29
1495,0022200483,36,29
1494,0022200483,29,36
1491,0022200484,39,31
1490,0022200484,31,39
1497,0022200485,22,29
1496,0022200485,29,22
1493,0022200486,31,28
1492,0022200486,28,31
1487,0022200487,30,24
1486,0022200487,24,30
1500,0022200488,33,23
1501,0022200488,23,33
1483,0022200489,27,32
1482,0022200489,32,27
1481,0022200490,39,20
1480,0022200490,20,39
1477,0022200491,27,28
1476,0022200491,28,27
1479,0022200492,31,27
1478,0022200492,27,31
1472,0022200493,37,25
1473,0022200493,25,37
1468,0022200494,28,21
1469,0022200494,21,28
1471,0022200495,28,36
1470,0022200495,36,28
1474,0022200496,29,33
1475,0022200496,33,29
1467,0022200497,24,28
1466,0022200497,28,24
1457,0022200498,34,22
1456,0022200498,22,34
1461,0022200499,31,36
1460,0022200499,36,31
1462,0022200500,31,33
1463,0022200500,33,31
1464,0022200501,26,36
1465,0022200501,36,26
1455,0022200502,18,24
1454,0022200502,24,18
1453,0022200503,26,31
1452,0022200503,31,26
1459,0022200504,30,34
1458,0022200504,34,30
1439,0022200505,33,27
1438,0022200505,27,33
1447,0022200506,30,32
1446,0022200506,32,30
1449,0022200507,22,21
1448,0022200507,21,22
1441,0022200508,27,30
1440,0022200508,30,27
1450,0022200509,27,29
1451,0022200509,29,27
1445,0022200510,22,23
1444,0022200510,23,22
1443,0022200511,38,33
1442,0022200511,33,38
1433,0022200512,30,28
1432,0022200512,28,30
1437,0022200513,37,26
1436,0022200513,26,37
1435,0022200514,32,20
1434,0022200514,20,32
1426,0022200515,27,23
1427,0022200515,23,27
1418,0022200516,36,21
1419,0022200516,21,36
1425,0022200517,30,31
1424,0022200517,31,30
1423,0022200518,25,33
1422,0022200518,33,25
1417,0022200519,28,32
1416,0022200519,32,28
1421,0022200520,28,24
1420,0022200520,24,28
1428,0022200521,37,27
1429,0022200521,27,37
1430,0022200522,40,24
1431,0022200522,24,40
1414,0022200523,36,30
1415,0022200523,30,36
1413,0022200524,29,34
1412,0022200524,34,29
1407,0022200525,26,27
1406,0022200525,27,26
1409,0022200526,20,30
1408,0022200526,30,20
1405,0022200527,38,29
1404,0022200527,29,38
1411,0022200528,30,36
1410,0022200528,36,30
1396,0022200529,20,27
1397,0022200529,27,20
1386,0022200530,33,23
1387,0022200530,23,33
1395,0022200531,33,24
1394,0022200531,24,33
1389,0022200532,25,33
1388,0022200532,33,25
1391,0022200533,33,34
1390,0022200533,34,33
1393,0022200534,31,27
1392,0022200534,27,31
1402,0022200535,19,23
1403,0022200535,23,19
1400,0022200536,25,41
1401,0022200536,41,25
1399,0022200537,27,30
1398,0022200537,30,27
1380,0022200538,22,32
1381,0022200538,32,22
1369,0022200539,22,32
1368,0022200539,32,22
1379,0022200540,28,30
1378,0022200540,30,28
1375,0022200541,35,27
1374,0022200541,27,35
1385,0022200542,30,32
1384,0022200542,32,30
1383,0022200543,31,25
1382,0022200543,25,31
1377,0022200544,28,39
1376,0022200544,39,28
1371,0022200545,38,20
1370,0022200545,20,38
1373,0022200546,30,31
1372,0022200546,31,30
1363,0022200547,26,27
1362,0022200547,27,26
1365,0022200548,34,17
1364,0022200548,17,34
1367,0022200549,28,37
1366,0022200549,37,28
1359,0022200550,23,11
1358,0022200550,11,23
1357,0022200551,21,22
1356,0022200551,22,21
1352,0022200552,34,27
1353,0022200552,27,34
1342,0022200553,33,29
1343,0022200553,29,33
1355,0022200554,25,33
1354,0022200554,33,25
1341,0022200555,25,37
1340,0022200555,37,25
